Year|Prov|Grade|Group|Tot|Grads|Perc
93/94| Prov |07|FEM|22704|22057|97
93/94| Prov |07|MAL|23626|22868|97
93/94| Prov |07|AB|2303|2134|93
93/94| Prov |07|XAB|44027|42791|97
93/94| Prov |07|ELL|4058|3898|96
93/94| Prov |07|FRI|3066|3023|99
93/94| Prov |07|SN|0|0|
93/94| Prov |08|ALL|45696|42646|93
93/94| Prov |08|FEM|22364|21077|94
93/94| Prov |08|MAL|23332|21569|92
93/94| Prov |08|AB|2136|1657|78
93/94| Prov |08|XAB|43560|40989|94
93/94| Prov |08|ELL|2969|2793|94
93/94| Prov |08|FRI|2434|2382|98
93/94| Prov |08|SN|0|0|
93/94| Prov |09|ALL|44245|39994|90
93/94| Prov |09|FEM|21640|19756|91
93/94| Prov |09|MAL|22605|20238|90
93/94| Prov |09|AB|2179|1603|74
93/94| Prov |09|XAB|42066|38391|91
93/94| Prov |09|ELL|3335|3053|92
93/94| Prov |09|FRI|2184|2125|97
93/94| Prov |09|SN|0|0|
93/94| Prov |10|ALL|44002|37860|86
93/94| Prov |10|FEM|21719|18880|87
93/94| Prov |10|MAL|22283|18980|85
93/94| Prov |10|AB|2039|1319|65
93/94| Prov |10|XAB|41963|36541|87
93/94| Prov |10|ELL|3758|3334|89
93/94| Prov |10|FRI|1672|1618|97
93/94| Prov |10|SN|0|0|
93/94| Prov |11|ALL|44367|35049|79
93/94| Prov |11|FEM|21911|17604|80
93/94| Prov |11|MAL|22456|17445|78
93/94| Prov |11|AB|1862|1083|58
93/94| Prov |11|XAB|42505|33966|80
93/94| Prov |11|ELL|4119|3235|79
93/94| Prov |11|FRI|1163|1125|97
93/94| Prov |11|SN|0|0|
94/95| Prov |01|ALL|46860|45540|97
94/95| Prov |01|FEM|23070|22417|97
94/95| Prov |01|MAL|23790|23123|97
94/95| Prov |01|AB|2644|2500|95
94/95| Prov |01|XAB|44216|43040|97
94/95| Prov |01|ELL|5408|5251|97
94/95| Prov |01|FRI|2759|2693|98
94/95| Prov |01|SN|0|0|
94/95| Prov |02|ALL|46956|45661|97
94/95| Prov |02|FEM|22813|22183|97
94/95| Prov |02|MAL|24143|23478|97
94/95| Prov |02|AB|2651|2515|95
94/95| Prov |02|XAB|44305|43146|97
94/95| Prov |02|ELL|5294|5144|97
94/95| Prov |02|FRI|2512|2452|98
94/95| Prov |02|SN|0|0|
94/95| Prov |03|ALL|45839|43159|94
94/95| Prov |03|FEM|22023|20912|95
94/95| Prov |03|MAL|23816|22247|93
94/95| Prov |03|AB|2653|2377|90
94/95| Prov |03|XAB|43186|40782|94
94/95| Prov |03|ELL|5001|4660|93
94/95| Prov |03|FRI|2218|2137|96
94/95| Prov |03|SN|0|0|
94/95| Prov |04|ALL|49721|48016|97
94/95| Prov |04|FEM|24413|23648|97
94/95| Prov |04|MAL|25308|24368|96
94/95| Prov |04|AB|2637|2478|94
94/95| Prov |04|XAB|47084|45538|97
94/95| Prov |04|ELL|5138|4918|96
94/95| Prov |04|FRI|2512|2446|97
94/95| Prov |04|SN|0|0|
94/95| Prov |05|ALL|49790|48218|97
94/95| Prov |05|FEM|24180|23482|97
94/95| Prov |05|MAL|25610|24736|97
94/95| Prov |05|AB|2692|2519|94
94/95| Prov |05|XAB|47098|45699|97
94/95| Prov |05|ELL|4836|4636|96
94/95| Prov |05|FRI|2362|2313|98
94/95| Prov |05|SN|0|0|
94/95| Prov |06|ALL|49206|47646|97
94/95| Prov |06|FEM|23806|23109|97
94/95| Prov |06|MAL|25400|24537|97
94/95| Prov |06|AB|2740|2586|94
94/95| Prov |06|XAB|46466|45060|97
94/95| Prov |06|ELL|4683|4506|96
94/95| Prov |06|FRI|3425|3359|98
94/95| Prov |06|SN|0|0|
94/95| Prov |07|ALL|48950|47196|96
94/95| Prov |07|FEM|23801|23001|97
94/95| Prov |07|MAL|25149|24195|96
