Year|Prov|Grade|Group|Tot|Grads|Perc
05/06| Prov |08|FEM|25401|24311|96
05/06| Prov |08|MAL|26681|25367|95
05/06| Prov |08|AB|5662|5094|90
05/06| Prov |08|XAB|46420|44584|96
05/06| Prov |08|ELL|2619|2406|92
05/06| Prov |08|FRI|2736|2693|98
05/06| Prov |08|SN|3384|3070|91
05/06| Prov |09|ALL|52581|49368|94
05/06| Prov |09|FEM|25471|24051|94
05/06| Prov |09|MAL|27110|25317|93
05/06| Prov |09|AB|5577|4729|85
05/06| Prov |09|XAB|47004|44639|95
05/06| Prov |09|ELL|2457|2205|90
05/06| Prov |09|FRI|2389|2347|98
05/06| Prov |09|SN|3600|3084|86
05/06| Prov |10|ALL|55127|49342|90
05/06| Prov |10|FEM|27057|24283|90
05/06| Prov |10|MAL|28070|25059|89
05/06| Prov |10|AB|5094|3860|76
05/06| Prov |10|XAB|50033|45482|91
05/06| Prov |10|ELL|2555|2137|84
05/06| Prov |10|FRI|1907|1868|98
05/06| Prov |10|SN|3825|2848|74
05/06| Prov |11|ALL|54893|45548|83
05/06| Prov |11|FEM|27095|22601|83
05/06| Prov |11|MAL|27798|22947|83
05/06| Prov |11|AB|4415|2842|64
05/06| Prov |11|XAB|50478|42706|85
05/06| Prov |11|ELL|2237|1562|70
05/06| Prov |11|FRI|1629|1590|98
05/06| Prov |11|SN|3474|2361|68
06/07| Prov |01|ALL|41010|39583|97
06/07| Prov |01|FEM|20023|19346|97
06/07| Prov |01|MAL|20987|20237|96
06/07| Prov |01|AB|4873|4668|96
06/07| Prov |01|XAB|36137|34915|97
06/07| Prov |01|ELL|8333|7936|95
06/07| Prov |01|FRI|4073|3982|98
06/07| Prov |01|SN|543|517|95
06/07| Prov |02|ALL|42096|40844|97
06/07| Prov |02|FEM|20482|19914|97
06/07| Prov |02|MAL|21614|20930|97
06/07| Prov |02|AB|4921|4750|97
06/07| Prov |02|XAB|37175|36094|97
06/07| Prov |02|ELL|7953|7652|96
06/07| Prov |02|FRI|3817|3726|98
06/07| Prov |02|SN|982|943|96
06/07| Prov |03|ALL|43444|42224|97
06/07| Prov |03|FEM|21378|20782|97
06/07| Prov |03|MAL|22066|21442|97
06/07| Prov |03|AB|5199|5032|97
06/07| Prov |03|XAB|38245|37192|97
06/07| Prov |03|ELL|8088|7771|96
06/07| Prov |03|FRI|3441|3369|98
06/07| Prov |03|SN|1495|1446|97
06/07| Prov |04|ALL|45028|43731|97
06/07| Prov |04|FEM|21853|21219|97
06/07| Prov |04|MAL|23175|22512|97
06/07| Prov |04|AB|5292|5142|97
06/07| Prov |04|XAB|39736|38589|97
06/07| Prov |04|ELL|7870|7564|96
06/07| Prov |04|FRI|2916|2867|98
06/07| Prov |04|SN|1942|1870|96
06/07| Prov |05|ALL|47448|45880|97
06/07| Prov |05|FEM|23041|22317|97
06/07| Prov |05|MAL|24407|23563|97
06/07| Prov |05|AB|5561|5380|97
06/07| Prov |05|XAB|41887|40500|97
06/07| Prov |05|ELL|4485|4234|94
06/07| Prov |05|FRI|2799|2744|98
06/07| Prov |05|SN|2587|2500|97
06/07| Prov |06|ALL|48803|47168|97
06/07| Prov |06|FEM|23697|22950|97
06/07| Prov |06|MAL|25106|24218|96
06/07| Prov |06|AB|5658|5480|97
06/07| Prov |06|XAB|43145|41688|97
06/07| Prov |06|ELL|3633|3360|92
06/07| Prov |06|FRI|4004|3931|98
06/07| Prov |06|SN|2869|2778|97
06/07| Prov |07|ALL|50129|48621|97
06/07| Prov |07|FEM|24194|23536|97
06/07| Prov |07|MAL|25935|25085|97
06/07| Prov |07|AB|5627|5435|97
06/07| Prov |07|XAB|44502|43186|97
06/07| Prov |07|ELL|3249|3060|94
06/07| Prov |07|FRI|3693|3647|99
06/07| Prov |07|SN|3071|2969|97
06/07| Prov |08|ALL|51186|48620|95
06/07| Prov |08|FEM|24852|23663|95
06/07| Prov |08|MAL|26334|24957|95
06/07| Prov |08|AB|5696|5067|89
06/07| Prov |08|XAB|45490|43553|96
06/07| Prov |08|ELL|2544|2334|92
06/07| Prov |08|FRI|3050|3001|98
06/07| Prov |08|SN|3252|2986|92
06/07| Prov |09|ALL|52545|49742|95
06/07| Prov |09|FEM|25577|24305|95
06/07| Prov |09|MAL|26968|25437|94
06/07| Prov |09|AB|5540|4777|86
06/07| Prov |09|XAB|47005|44965|96
06/07| Prov |09|ELL|2525|2320|92
06/07| Prov |09|FRI|2483|2437|98
06/07| Prov |09|SN|3496|3018|86
06/07| Prov |10|ALL|54118|48861|90
06/07| Prov |10|FEM|26389|23888|91
06/07| Prov |10|MAL|27729|24973|90
06/07| Prov |10|AB|5496|4178|76
06/07| Prov |10|XAB|48622|44683|92
06/07| Prov |10|ELL|2527|2158|85
06/07| Prov |10|FRI|2120|2090|99
06/07| Prov |10|SN|3723|2794|75
06/07| Prov |11|ALL|55825|46778|84
06/07| Prov |11|FEM|27632|23308|84
06/07| Prov |11|MAL|28193|23470|83
06/07| Prov |11|AB|4662|3143|67
06/07| Prov |11|XAB|51163|43635|85
06/07| Prov |11|ELL|2423|1680|69
06/07| Prov |11|FRI|1675|1632|97
06/07| Prov |11|SN|3276|2226|68
07/08| Prov |01|ALL|41169|39762|97
07/08| Prov |01|FEM|20066|19413|97
07/08| Prov |01|MAL|21103|20349|96
07/08| Prov |01|AB|4734|4500|95
07/08| Prov |01|XAB|36435|35262|97
07/08| Prov |01|ELL|8161|7821|96
07/08| Prov |01|FRI|4220|4100|97
07/08| Prov |01|SN|462|433|94
07/08| Prov |02|ALL|41523|40336|97
07/08| Prov |02|FEM|20247|19657|97
07/08| Prov |02|MAL|21276|20679|97
07/08| Prov |02|AB|4920|4773|97
07/08| Prov |02|XAB|36603|35563|97
07/08| Prov |02|ELL|8336|8064|97
07/08| Prov |02|FRI|3813|3757|99
07/08| Prov |02|SN|857|829|97
07/08| Prov |03|ALL|42738|41553|97
07/08| Prov |03|FEM|20864|20289|97
07/08| Prov |03|MAL|21874|21264|97
07/08| Prov |03|AB|4990|4839|97
07/08| Prov |03|XAB|37748|36714|97
07/08| Prov |03|ELL|7815|7517|96
07/08| Prov |03|FRI|3595|3527|98
07/08| Prov |03|SN|1336|1282|96
07/08| Prov |04|ALL|44251|42964|97
07/08| Prov |04|FEM|21769|21165|97
07/08| Prov |04|MAL|22482|21799|97
07/08| Prov |04|AB|5262|5099|97
07/08| Prov |04|XAB|38989|37865|97
07/08| Prov |04|ELL|7879|7607|97
07/08| Prov |04|FRI|3277|3222|98
07/08| Prov |04|SN|1989|1923|97
07/08| Prov |05|ALL|45954|44564|97
07/08| Prov |05|FEM|22276|21600|97
07/08| Prov |05|MAL|23678|22964|97
07/08| Prov |05|AB|5375|5211|97
07/08| Prov |05|XAB|40579|39353|97
07/08| Prov |05|ELL|4445|4184|94
07/08| Prov |05|FRI|2911|2865|98
07/08| Prov |05|SN|2440|2367|97
07/08| Prov |06|ALL|48134|46535|97
07/08| Prov |06|FEM|23385|22687|97
07/08| Prov |06|MAL|24749|23848|96
07/08| Prov |06|AB|5564|5429|98
07/08| Prov |06|XAB|42570|41106|97
07/08| Prov |06|ELL|3405|3177|93
07/08| Prov |06|FRI|4317|4243|98
07/08| Prov |06|SN|2920|2834|97
07/08| Prov |07|ALL|49294|47764|97
07/08| Prov |07|FEM|23925|23193|97
07/08| Prov |07|MAL|25369|24571|97
07/08| Prov |07|AB|5660|5462|97
07/08| Prov |07|XAB|43634|42302|97
07/08| Prov |07|ELL|3121|2910|93
07/08| Prov |07|FRI|3860|3812|99
07/08| Prov |07|SN|3105|3016|97
07/08| Prov |08|ALL|51068|49036|96
07/08| Prov |08|FEM|24684|23738|96
07/08| Prov |08|MAL|26384|25298|96
07/08| Prov |08|AB|5696|5217|92
07/08| Prov |08|XAB|45372|43819|97
07/08| Prov |08|ELL|2532|2339|92
07/08| Prov |08|FRI|3078|3047|99
07/08| Prov |08|SN|3310|3048|92
07/08| Prov |09|ALL|51472|48855|95
07/08| Prov |09|FEM|24954|23700|95
07/08| Prov |09|MAL|26518|25155|95
07/08| Prov |09|AB|5480|4803|88
07/08| Prov |09|XAB|45992|44052|96
07/08| Prov |09|ELL|2400|2177|91
07/08| Prov |09|FRI|2642|2604|99
07/08| Prov |09|SN|3431|3034|88
07/08| Prov |10|ALL|54845|49605|90
07/08| Prov |10|FEM|26854|24264|90
07/08| Prov |10|MAL|27991|25341|91
07/08| Prov |10|AB|5459|4251|78
07/08| Prov |10|XAB|49386|45354|92
07/08| Prov |10|ELL|2525|2188|87
07/08| Prov |10|FRI|2127|2097|99
07/08| Prov |10|SN|3615|2877|80
07/08| Prov |11|ALL|55908|47134|84
07/08| Prov |11|FEM|27462|23192|84
07/08| Prov |11|MAL|28446|23942|84
07/08| Prov |11|AB|5078|3440|68
07/08| Prov |11|XAB|50830|43694|86
07/08| Prov |11|ELL|2281|1628|71
07/08| Prov |11|FRI|1881|1844|98
07/08| Prov |11|SN|3324|2360|71
08/09| Prov |01|ALL|41059|39847|97
08/09| Prov |01|FEM|19895|19336|97
08/09| Prov |01|MAL|21164|20511|97
08/09| Prov |01|AB|4686|4480|96
08/09| Prov |01|XAB|36373|35367|97
08/09| Prov |01|ELL|8390|8055|96
08/09| Prov |01|FRI|4172|4094|98
08/09| Prov |01|SN|441|423|96
08/09| Prov |02|ALL|41602|40480|97
08/09| Prov |02|FEM|20281|19722|97
08/09| Prov |02|MAL|21321|20758|97
08/09| Prov |02|AB|4746|4565|96
08/09| Prov |02|XAB|36856|35915|97
08/09| Prov |02|ELL|8222|7937|97
08/09| Prov |02|FRI|3914|3852|98
08/09| Prov |02|SN|827|799|97
08/09| Prov |03|ALL|42240|41084|97
08/09| Prov |03|FEM|20559|20011|97
08/09| Prov |03|MAL|21681|21073|97
08/09| Prov |03|AB|4984|4829|97
08/09| Prov |03|XAB|37256|36255|97
08/09| Prov |03|ELL|8452|8123|96
08/09| Prov |03|FRI|3657|3601|98
08/09| Prov |03|SN|1339|1283|96
08/09| Prov |04|ALL|43442|42303|97
08/09| Prov |04|FEM|21205|20647|97
08/09| Prov |04|MAL|22237|21656|97
08/09| Prov |04|AB|5033|4882|97
08/09| Prov |04|XAB|38409|37421|97
08/09| Prov |04|ELL|7793|7488|96
08/09| Prov |04|FRI|3411|3370|99
08/09| Prov |04|SN|1844|1791|97
08/09| Prov |05|ALL|44972|43684|97
08/09| Prov |05|FEM|22072|21518|97
08/09| Prov |05|MAL|22900|22166|97
08/09| Prov |05|AB|5270|5128|97
08/09| Prov |05|XAB|39702|38556|97
08/09| Prov |05|ELL|4537|4286|94
08/09| Prov |05|FRI|3210|3173|99
08/09| Prov |05|SN|2610|2540|97
08/09| Prov |06|ALL|46882|45320|97
08/09| Prov |06|FEM|22685|22001|97
08/09| Prov |06|MAL|24197|23319|96
08/09| Prov |06|AB|5376|5212|97
08/09| Prov |06|XAB|41506|40108|97
08/09| Prov |06|ELL|3659|3399|93
08/09| Prov |06|FRI|4260|4201|99
08/09| Prov |06|SN|2864|2798|98
08/09| Prov |07|ALL|48474|47207|97
08/09| Prov |07|FEM|23639|23015|97
08/09| Prov |07|MAL|24835|24192|97
08/09| Prov |07|AB|5592|5393|96
08/09| Prov |07|XAB|42882|41814|98
08/09| Prov |07|ELL|3196|3007|94
08/09| Prov |07|FRI|3959|3914|99
08/09| Prov |07|SN|3141|3055|97
08/09| Prov |08|ALL|50114|48366|97
08/09| Prov |08|FEM|24262|23462|97
08/09| Prov |08|MAL|25852|24904|96
08/09| Prov |08|AB|5720|5342|93
08/09| Prov |08|XAB|44394|43024|97
08/09| Prov |08|ELL|2538|2366|93
08/09| Prov |08|FRI|3244|3213|99
08/09| Prov |08|SN|3493|3282|94
08/09| Prov |09|ALL|51720|49384|95
08/09| Prov |09|FEM|24983|23870|96
08/09| Prov |09|MAL|26737|25514|95
08/09| Prov |09|AB|5547|4963|89
08/09| Prov |09|XAB|46173|44421|96
08/09| Prov |09|ELL|2377|2178|92
08/09| Prov |09|FRI|2810|2771|99
08/09| Prov |09|SN|3482|3109|89
08/09| Prov |10|ALL|53646|49217|92
08/09| Prov |10|FEM|26036|23883|92
08/09| Prov |10|MAL|27610|25334|92
08/09| Prov |10|AB|5503|4481|81
08/09| Prov |10|XAB|48143|44736|93
08/09| Prov |10|ELL|2475|2185|88
08/09| Prov |10|FRI|2400|2367|99
08/09| Prov |10|SN|3850|3131|81
08/09| Prov |11|ALL|56603|48116|85
08/09| Prov |11|FEM|27774|23563|85
08/09| Prov |11|MAL|28829|24553|85
08/09| Prov |11|AB|5213|3673|70
08/09| Prov |11|XAB|51390|44443|86
08/09| Prov |11|ELL|2413|1765|73
08/09| Prov |11|FRI|1958|1915|98
08/09| Prov |11|SN|3505|2609|74
09/10| Prov |01|ALL|41797|40493|97
09/10| Prov |01|FEM|20446|19808|97
09/10| Prov |01|MAL|21351|20685|97
09/10| Prov |01|AB|4654|4483|96
09/10| Prov |01|XAB|37143|36010|97
09/10| Prov |01|ELL|8425|8065|96
09/10| Prov |01|FRI|4297|4215|98
09/10| Prov |01|SN|446|427|96
09/10| Prov |02|ALL|41697|40542|97
09/10| Prov |02|FEM|20196|19639|97
09/10| Prov |02|MAL|21501|20903|97
09/10| Prov |02|AB|4724|4554|96
09/10| Prov |02|XAB|36973|35988|97
09/10| Prov |02|ELL|8377|8045|96
09/10| Prov |02|FRI|3965|3893|98
09/10| Prov |02|SN|817|793|97
09/10| Prov |03|ALL|42241|41075|97
09/10| Prov |03|FEM|20561|19989|97
09/10| Prov |03|MAL|21680|21086|97
09/10| Prov |03|AB|4754|4599|97
09/10| Prov |03|XAB|37487|36476|97
09/10| Prov |03|ELL|8103|7821|97
09/10| Prov |03|FRI|3791|3740|99
09/10| Prov |03|SN|1254|1213|97
09/10| Prov |04|ALL|42888|41696|97
09/10| Prov |04|FEM|20877|20319|97
09/10| Prov |04|MAL|22011|21377|97
09/10| Prov |04|AB|4982|4848|97
09/10| Prov |04|XAB|37906|36848|97
09/10| Prov |04|ELL|8302|8018|97
09/10| Prov |04|FRI|3519|3479|99
09/10| Prov |04|SN|1826|1760|96
09/10| Prov |05|ALL|44215|42947|97
09/10| Prov |05|FEM|21568|20979|97
09/10| Prov |05|MAL|22647|21968|97
09/10| Prov |05|AB|5055|4915|97
09/10| Prov |05|XAB|39160|38032|97
09/10| Prov |05|ELL|4587|4323|94
09/10| Prov |05|FRI|3330|3288|99
09/10| Prov |05|SN|2439|2368|97
09/10| Prov |06|ALL|45637|44253|97
09/10| Prov |06|FEM|22482|21837|97
09/10| Prov |06|MAL|23155|22416|97
09/10| Prov |06|AB|5274|5131|97
09/10| Prov |06|XAB|40363|39122|97
09/10| Prov |06|ELL|3647|3399|93
09/10| Prov |06|FRI|4491|4447|99
09/10| Prov |06|SN|2999|2918|97
09/10| Prov |07|ALL|47152|46003|98
09/10| Prov |07|FEM|22873|22350|98
09/10| Prov |07|MAL|24279|23653|97
09/10| Prov |07|AB|5356|5220|97
09/10| Prov |07|XAB|41796|40783|98
09/10| Prov |07|ELL|3239|3035|94
09/10| Prov |07|FRI|4077|4038|99
09/10| Prov |07|SN|3129|3057|98
09/10| Prov |08|ALL|49216|47697|97
09/10| Prov |08|FEM|23939|23226|97
09/10| Prov |08|MAL|25277|24471|97
09/10| Prov |08|AB|5616|5291|94
09/10| Prov |08|XAB|43600|42406|97
09/10| Prov |08|ELL|2606|2419|93
09/10| Prov |08|FRI|3359|3316|99
09/10| Prov |08|SN|3449|3284|95
09/10| Prov |09|ALL|50778|48764|96
09/10| Prov |09|FEM|24569|23636|96
09/10| Prov |09|MAL|26209|25128|96
09/10| Prov |09|AB|5635|5109|91
09/10| Prov |09|XAB|45143|43655|97
09/10| Prov |09|ELL|2354|2186|93
09/10| Prov |09|FRI|2914|2874|99
09/10| Prov |09|SN|3574|3270|91
09/10| Prov |10|ALL|54986|49983|91
09/10| Prov |10|FEM|26874|24247|90
09/10| Prov |10|MAL|28112|25736|92
09/10| Prov |10|AB|5596|4677|84
09/10| Prov |10|XAB|49390|45306|92
09/10| Prov |10|ELL|2441|2210|91
09/10| Prov |10|FRI|2435|2399|99
09/10| Prov |10|SN|3772|3167|84
09/10| Prov |11|ALL|56147|48207|86
09/10| Prov |11|FEM|27425|23618|86
09/10| Prov |11|MAL|28722|24589|86
09/10| Prov |11|AB|5454|3959|73
09/10| Prov |11|XAB|50693|44248|87
09/10| Prov |11|ELL|2407|1752|73
09/10| Prov |11|FRI|2213|2167|98
09/10| Prov |11|SN|3770|2860|76
10/11| Prov |01|ALL|41989|40823|97
10/11| Prov |01|FEM|20435|19910|97
10/11| Prov |01|MAL|21554|20913|97
10/11| Prov |01|AB|4598|4433|96
10/11| Prov |01|XAB|37391|36390|97
10/11| Prov |01|ELL|8627|8306|96
10/11| Prov |01|FRI|4332|4248|98
10/11| Prov |01|SN|440|417|95
10/11| Prov |02|ALL|42174|41113|97
10/11| Prov |02|FEM|20594|20098|98
10/11| Prov |02|MAL|21580|21015|97
10/11| Prov |02|AB|4691|4540|97
10/11| Prov |02|XAB|37483|36573|98
10/11| Prov |02|ELL|8450|8178|97
10/11| Prov |02|FRI|4010|3956|99
10/11| Prov |02|SN|785|762|97
10/11| Prov |03|ALL|42197|41118|97
10/11| Prov |03|FEM|20432|19922|98
10/11| Prov |03|MAL|21765|21196|97
10/11| Prov |03|AB|4759|4615|97
10/11| Prov |03|XAB|37438|36503|98
10/11| Prov |03|ELL|8271|8002|97
10/11| Prov |03|FRI|3758|3700|98
10/11| Prov |03|SN|1180|1142|97
10/11| Prov |04|ALL|42745|41704|98
10/11| Prov |04|FEM|20790|20304|98
10/11| Prov |04|MAL|21955|21400|97
10/11| Prov |04|AB|4754|4623|97
10/11| Prov |04|XAB|37991|37081|98
10/11| Prov |04|ELL|8016|7767|97
10/11| Prov |04|FRI|3605|3555|99
10/11| Prov |04|SN|1778|1729|97
10/11| Prov |05|ALL|43513|42341|97
10/11| Prov |05|FEM|21147|20618|97
10/11| Prov |05|MAL|22366|21723|97
10/11| Prov |05|AB|4990|4858|97
10/11| Prov |05|XAB|38523|37483|97
10/11| Prov |05|ELL|4645|4393|95
10/11| Prov |05|FRI|3438|3390|99
10/11| Prov |05|SN|2347|2288|97
10/11| Prov |06|ALL|44646|43422|97
10/11| Prov |06|FEM|21812|21234|97
10/11| Prov |06|MAL|22834|22188|97
10/11| Prov |06|AB|5051|4925|98
10/11| Prov |06|XAB|39595|38497|97
10/11| Prov |06|ELL|3440|3248|94
10/11| Prov |06|FRI|4481|4434|99
10/11| Prov |06|SN|2780|2709|97
10/11| Prov |07|ALL|46001|44810|97
10/11| Prov |07|FEM|22652|22078|97
10/11| Prov |07|MAL|23349|22732|97
10/11| Prov |07|AB|5268|5082|96
10/11| Prov |07|XAB|40733|39728|98
10/11| Prov |07|ELL|3276|3095|94
10/11| Prov |07|FRI|4245|4199|99
10/11| Prov |07|SN|3222|3138|97
10/11| Prov |08|ALL|48002|46546|97
10/11| Prov |08|FEM|23256|22592|97
10/11| Prov |08|MAL|24746|23954|97
10/11| Prov |08|AB|5435|5142|95
10/11| Prov |08|XAB|42567|41404|97
10/11| Prov |08|ELL|2555|2387|93
10/11| Prov |08|FRI|3472|3430|99
10/11| Prov |08|SN|3464|3326|96
10/11| Prov |09|ALL|49960|47963|96
10/11| Prov |09|FEM|24319|23364|96
10/11| Prov |09|MAL|25641|24599|96
10/11| Prov |09|AB|5581|5089|91
10/11| Prov |09|XAB|44379|42874|97
10/11| Prov |09|ELL|2260|2088|92
10/11| Prov |09|FRI|3016|2982|99
10/11| Prov |09|SN|3624|3309|91
10/11| Prov |10|ALL|54892|49331|90
10/11| Prov |10|FEM|27008|23993|89
10/11| Prov |10|MAL|27884|25338|91
10/11| Prov |10|AB|5660|4693|83
10/11| Prov |10|XAB|49232|44638|91
10/11| Prov |10|ELL|2380|2146|90
10/11| Prov |10|FRI|2611|2571|98
10/11| Prov |10|SN|3894|3295|85
10/11| Prov |11|ALL|56899|48939|86
10/11| Prov |11|FEM|27711|23811|86
10/11| Prov |11|MAL|29188|25128|86
10/11| Prov |11|AB|5548|4037|73
10/11| Prov |11|XAB|51351|44902|87
10/11| Prov |11|ELL|2440|1789|73
10/11| Prov |11|FRI|2217|2202|99
10/11| Prov |11|SN|3851|2933|76
11/12| Prov |01|ALL|42323|40964|97
11/12| Prov |01|FEM|20741|20113|97
11/12| Prov |01|MAL|21582|20851|97
11/12| Prov |01|AB|4486|4286|96
11/12| Prov |01|XAB|37837|36678|97
11/12| Prov |01|ELL|8716|8377|96
11/12| Prov |01|FRI|4340|4242|98
11/12| Prov |01|SN|491|466|95
11/12| Prov |02|ALL|42479|41193|97
11/12| Prov |02|FEM|20670|20039|97
11/12| Prov |02|MAL|21809|21154|97
11/12| Prov |02|AB|4624|4426|96
11/12| Prov |02|XAB|37855|36767|97
11/12| Prov |02|ELL|8770|8418|96
11/12| Prov |02|FRI|4107|4014|98
11/12| Prov |02|SN|762|723|95
11/12| Prov |03|ALL|42635|41464|97
11/12| Prov |03|FEM|20822|20254|97
11/12| Prov |03|MAL|21813|21210|97
11/12| Prov |03|AB|4703|4554|97
11/12| Prov |03|XAB|37932|36910|97
11/12| Prov |03|ELL|8345|8080|97
11/12| Prov |03|FRI|3847|3780|98
11/12| Prov |03|SN|1131|1089|96
11/12| Prov |04|ALL|42658|41527|97
11/12| Prov |04|FEM|20653|20116|97
11/12| Prov |04|MAL|22005|21411|97
11/12| Prov |04|AB|4788|4631|97
11/12| Prov |04|XAB|37870|36896|97
11/12| Prov |04|ELL|8245|7979|97
11/12| Prov |04|FRI|3609|3556|99
11/12| Prov |04|SN|1716|1672|97
11/12| Prov |05|ALL|43396|42182|97
11/12| Prov |05|FEM|21080|20512|97
11/12| Prov |05|MAL|22316|21670|97
11/12| Prov |05|AB|4794|4643|97
11/12| Prov |05|XAB|38602|37539|97
11/12| Prov |05|ELL|4482|4241|95
11/12| Prov |05|FRI|3565|3513|99
11/12| Prov |05|SN|2304|2233|97
11/12| Prov |06|ALL|44104|42788|97
11/12| Prov |06|FEM|21412|20799|97
11/12| Prov |06|MAL|22692|21989|97
11/12| Prov |06|AB|4998|4835|97
11/12| Prov |06|XAB|39106|37953|97
11/12| Prov |06|ELL|3681|3444|94
11/12| Prov |06|FRI|4719|4648|98
11/12| Prov |06|SN|2747|2676|97
11/12| Prov |07|ALL|45094|43904|97
11/12| Prov |07|FEM|22041|21462|97
11/12| Prov |07|MAL|23053|22442|97
11/12| Prov |07|AB|5066|4902|97
11/12| Prov |07|XAB|40028|39002|97
11/12| Prov |07|ELL|3090|2889|93
11/12| Prov |07|FRI|4350|4297|99
11/12| Prov |07|SN|2991|2915|97
11/12| Prov |08|ALL|46784|45345|97
11/12| Prov |08|FEM|22981|22308|97
11/12| Prov |08|MAL|23803|23037|97
11/12| Prov |08|AB|5312|5026|95
11/12| Prov |08|XAB|41472|40319|97
11/12| Prov |08|ELL|2461|2298|93
11/12| Prov |08|FRI|3501|3464|99
11/12| Prov |08|SN|3474|3346|96
11/12| Prov |09|ALL|48804|46814|96
11/12| Prov |09|FEM|23604|22707|96
11/12| Prov |09|MAL|25200|24107|96
11/12| Prov |09|AB|5405|4910|91
11/12| Prov |09|XAB|43399|41904|97
11/12| Prov |09|ELL|2327|2148|92
11/12| Prov |09|FRI|3082|3054|99
11/12| Prov |09|SN|3729|3448|92
11/12| Prov |10|ALL|53450|48664|91
11/12| Prov |10|FEM|26347|23831|90
11/12| Prov |10|MAL|27103|24833|92
11/12| Prov |10|AB|5592|4782|86
11/12| Prov |10|XAB|47858|43882|92
11/12| Prov |10|ELL|2436|2169|89
11/12| Prov |10|FRI|2659|2627|99
11/12| Prov |10|SN|3846|3312|86
11/12| Prov |11|ALL|55474|48411|87
11/12| Prov |11|FEM|27035|23612|87
11/12| Prov |11|MAL|28439|24799|87
11/12| Prov |11|AB|5487|4121|75
11/12| Prov |11|XAB|49987|44290|89
11/12| Prov |11|ELL|2307|1735|75
11/12| Prov |11|FRI|2385|2354|99
11/12| Prov |11|SN|3831|3004|78
12/13| Prov |01|ALL|42962|41752|97
12/13| Prov |01|FEM|20965|20361|97
12/13| Prov |01|MAL|21997|21391|97
12/13| Prov |01|AB|4376|4220|96
12/13| Prov |01|XAB|38586|37532|97
12/13| Prov |01|ELL|8684|8362|96
12/13| Prov |01|FRI|4680|4567|98
12/13| Prov |01|SN|502|482|96
12/13| Prov |02|ALL|42451|41367|97
12/13| Prov |02|FEM|20785|20289|98
12/13| Prov |02|MAL|21666|21078|97
12/13| Prov |02|AB|4453|4325|97
12/13| Prov |02|XAB|37998|37042|97
12/13| Prov |02|ELL|8704|8378|96
12/13| Prov |02|FRI|4072|4009|98
12/13| Prov |02|SN|761|739|97
12/13| Prov |03|ALL|42575|41536|98
12/13| Prov |03|FEM|20714|20225|98
12/13| Prov |03|MAL|21861|21311|97
12/13| Prov |03|AB|4566|4421|97
12/13| Prov |03|XAB|38009|37115|98
12/13| Prov |03|ELL|8646|8374|97
12/13| Prov |03|FRI|3844|3790|99
12/13| Prov |03|SN|1138|1098|96
12/13| Prov |04|ALL|42923|41873|98
12/13| Prov |04|FEM|20967|20459|98
12/13| Prov |04|MAL|21956|21414|98
12/13| Prov |04|AB|4718|4582|97
12/13| Prov |04|XAB|38205|37291|98
12/13| Prov |04|ELL|8146|7897|97
12/13| Prov |04|FRI|3704|3651|99
12/13| Prov |04|SN|1680|1638|98
12/13| Prov |05|ALL|42982|41848|97
12/13| Prov |05|FEM|20791|20256|97
12/13| Prov |05|MAL|22191|21592|97
12/13| Prov |05|AB|4764|4605|97
12/13| Prov |05|XAB|38218|37243|97
12/13| Prov |05|ELL|4594|4381|95
12/13| Prov |05|FRI|3569|3522|99
12/13| Prov |05|SN|2287|2232|98
12/13| Prov |06|ALL|43705|42642|98
12/13| Prov |06|FEM|21247|20748|98
12/13| Prov |06|MAL|22458|21894|97
12/13| Prov |06|AB|4772|4630|97
12/13| Prov |06|XAB|38933|38012|98
12/13| Prov |06|ELL|3581|3426|96
12/13| Prov |06|FRI|4895|4842|99
12/13| Prov |06|SN|2647|2594|98
12/13| Prov |07|ALL|44356|43363|98
12/13| Prov |07|FEM|21560|21103|98
12/13| Prov |07|MAL|22796|22260|98
12/13| Prov |07|AB|4955|4836|98
12/13| Prov |07|XAB|39401|38527|98
12/13| Prov |07|ELL|3244|3076|95
12/13| Prov |07|FRI|4518|4471|99
12/13| Prov |07|SN|2955|2902|98
12/13| Prov |08|ALL|45631|44441|97
12/13| Prov |08|FEM|22244|21688|98
12/13| Prov |08|MAL|23387|22753|97
12/13| Prov |08|AB|5077|4822|95
12/13| Prov |08|XAB|40554|39619|98
12/13| Prov |08|ELL|2248|2136|95
12/13| Prov |08|FRI|3667|3643|99
12/13| Prov |08|SN|3308|3174|96
12/13| Prov |09|ALL|47364|45515|96
12/13| Prov |09|FEM|23225|22323|96
12/13| Prov |09|MAL|24139|23192|96
12/13| Prov |09|AB|5235|4792|92
12/13| Prov |09|XAB|42129|40723|97
12/13| Prov |09|ELL|2133|1979|93
12/13| Prov |09|FRI|3150|3119|99
12/13| Prov |09|SN|3679|3432|93
12/13| Prov |10|ALL|51576|47501|92
12/13| Prov |10|FEM|25189|23110|92
12/13| Prov |10|MAL|26387|24391|92
12/13| Prov |10|AB|5308|4588|86
12/13| Prov |10|XAB|46268|42913|93
12/13| Prov |10|ELL|2163|1974|91
12/13| Prov |10|FRI|2799|2752|98
12/13| Prov |10|SN|3931|3446|88
12/13| Prov |11|ALL|54633|47991|88
12/13| Prov |11|FEM|26783|23543|88
12/13| Prov |11|MAL|27850|24448|88
12/13| Prov |11|AB|5500|4262|77
